run=suite-a models=deepseek,muse conds=V0,V1,V2,V3,V4,LM2,LM4,HM2,HM4,V2N,V2P,V4L,LML draws=3 items=200 pending=15600 done=0 cap=$45
  20/15600 done, $0.0289 spent, 21s
  12080/15600 done, $19.6856 spent, 11826s
  12100/15600 done, $19.6943 spent, 11831s
  12120/15600 done, $19.7010 spent, 11838s
  12140/15600 done, $19.7103 spent, 11843s
  12160/15600 done, $19.7182 spent, 11850s
  12180/15600 done, $19.7281 spent, 11855s
  12200/15600 done, $19.7365 spent, 11863s
  12220/15600 done, $19.7483 spent, 11872s
  12240/15600 done, $19.7613 spent, 11883s
  12260/15600 done, $19.7747 spent, 11893s
  12280/15600 done, $19.7846 spent, 11898s
  12300/15600 done, $19.8003 spent, 11906s
  12320/15600 done, $19.8122 spent, 11911s
  12340/15600 done, $19.8188 spent, 11918s
  12360/15600 done, $19.8318 spent, 11924s
  12380/15600 done, $19.8395 spent, 11932s
  12400/15600 done, $19.8475 spent, 11939s
  12420/15600 done, $19.8594 spent, 11945s
  12440/15600 done, $19.8695 spent, 11954s
  12460/15600 done, $19.8792 spent, 11962s
  12480/15600 done, $19.8928 spent, 11968s
  12500/15600 done, $19.9041 spent, 11974s
  12520/15600 done, $19.9139 spent, 11983s
  12540/15600 done, $19.9234 spent, 11989s
  12560/15600 done, $19.9311 spent, 11995s
  12580/15600 done, $19.9415 spent, 12001s
  12600/15600 done, $19.9522 spent, 12006s
  12620/15600 done, $19.9686 spent, 12017s
  12640/15600 done, $20.0002 spent, 12045s
  12660/15600 done, $20.0142 spent, 12052s
  12680/15600 done, $20.0257 spent, 12060s
  12700/15600 done, $20.0328 spent, 12068s
  12720/15600 done, $20.0536 spent, 12079s
  12740/15600 done, $20.0780 spent, 12092s
  12760/15600 done, $20.1037 spent, 12114s
  12780/15600 done, $20.1326 spent, 12130s
  12800/15600 done, $20.1425 spent, 12134s
  12820/15600 done, $20.1532 spent, 12140s
  12840/15600 done, $20.1596 spent, 12147s
  12860/15600 done, $20.1820 spent, 12171s
  12880/15600 done, $20.1961 spent, 12183s
  12900/15600 done, $20.2340 spent, 12207s
  12920/15600 done, $20.2696 spent, 12230s
  12940/15600 done, $20.2790 spent, 12240s
  12960/15600 done, $20.3021 spent, 12246s
  12980/15600 done, $20.3133 spent, 12251s
  13000/15600 done, $20.3261 spent, 12269s
  13020/15600 done, $20.3425 spent, 12286s
  13040/15600 done, $20.3716 spent, 12307s
  13060/15600 done, $20.4075 spent, 12329s
  13080/15600 done, $20.4230 spent, 12342s
  13100/15600 done, $20.4351 spent, 12349s
  13120/15600 done, $20.4430 spent, 12355s
  13140/15600 done, $20.4657 spent, 12380s
  13160/15600 done, $20.4894 spent, 12408s
  13180/15600 done, $20.5296 spent, 12430s
  13200/15600 done, $20.5528 spent, 12441s
  13220/15600 done, $20.5759 spent, 12477s
  13240/15600 done, $20.6018 spent, 12554s
  13260/15600 done, $20.6250 spent, 12596s
  13280/15600 done, $20.6424 spent, 12661s
  13300/15600 done, $20.6578 spent, 12698s
  13320/15600 done, $20.6755 spent, 12744s
  13340/15600 done, $20.7007 spent, 12794s
  13360/15600 done, $20.7187 spent, 12866s
  13380/15600 done, $20.7370 spent, 12930s
  13400/15600 done, $20.7666 spent, 13009s
  13420/15600 done, $20.7883 spent, 13071s
  13440/15600 done, $20.8133 spent, 13116s
  13460/15600 done, $20.8301 spent, 13161s
  13480/15600 done, $20.8465 spent, 13213s
  13500/15600 done, $20.8653 spent, 13276s
  13520/15600 done, $20.8787 spent, 13315s
  13540/15600 done, $20.8891 spent, 13354s
  13560/15600 done, $20.9009 spent, 13400s
  13580/15600 done, $20.9128 spent, 13437s
  13600/15600 done, $20.9218 spent, 13474s
  13620/15600 done, $20.9330 spent, 13511s
  13640/15600 done, $20.9434 spent, 13544s
  13660/15600 done, $20.9553 spent, 13582s
  13680/15600 done, $20.9657 spent, 13615s
  13700/15600 done, $20.9767 spent, 13656s
  13720/15600 done, $20.9899 spent, 13695s
  13740/15600 done, $21.0062 spent, 13732s
  13760/15600 done, $21.0189 spent, 13772s
  13780/15600 done, $21.0307 spent, 13802s
  13800/15600 done, $21.0414 spent, 13843s
  13820/15600 done, $21.0535 spent, 13878s
  13840/15600 done, $21.0665 spent, 13917s
  13860/15600 done, $21.0768 spent, 13963s
  13880/15600 done, $21.0900 spent, 13999s
  13900/15600 done, $21.1009 spent, 14033s
  13920/15600 done, $21.1121 spent, 14064s
  13940/15600 done, $21.1223 spent, 14087s
  13960/15600 done, $21.1359 spent, 14125s
  13980/15600 done, $21.1496 spent, 14173s
  14000/15600 done, $21.1616 spent, 14207s
  14020/15600 done, $21.1736 spent, 14235s
  14040/15600 done, $21.1871 spent, 14302s
  14060/15600 done, $21.2033 spent, 14364s
  14080/15600 done, $21.2176 spent, 14412s
  14100/15600 done, $21.2290 spent, 14467s
  14120/15600 done, $21.2434 spent, 14524s
  14140/15600 done, $21.2560 spent, 14585s
  14160/15600 done, $21.2693 spent, 14643s
  14180/15600 done, $21.2872 spent, 14708s
  14200/15600 done, $21.3002 spent, 14757s
  14220/15600 done, $21.3142 spent, 14804s
  14240/15600 done, $21.3256 spent, 14860s
  14260/15600 done, $21.3390 spent, 14916s
  14280/15600 done, $21.3515 spent, 14974s
  14300/15600 done, $21.3644 spent, 15034s
  14320/15600 done, $21.3788 spent, 15085s
  14340/15600 done, $21.3913 spent, 15145s
  14360/15600 done, $21.4052 spent, 15198s
  14380/15600 done, $21.4168 spent, 15251s
  14400/15600 done, $21.4323 spent, 15312s
  14420/15600 done, $21.4459 spent, 15369s
  14440/15600 done, $21.4599 spent, 15434s
  14460/15600 done, $21.4746 spent, 15489s
  14480/15600 done, $21.4893 spent, 15552s
  14500/15600 done, $21.5016 spent, 15604s
  14520/15600 done, $21.5155 spent, 15667s
  14540/15600 done, $21.5296 spent, 15727s
  14560/15600 done, $21.5428 spent, 15779s
  14580/15600 done, $21.5584 spent, 15835s
  14600/15600 done, $21.5759 spent, 15887s
  14620/15600 done, $21.5952 spent, 15923s
  14640/15600 done, $21.6089 spent, 15989s
  14660/15600 done, $21.6279 spent, 16031s
  14680/15600 done, $21.6442 spent, 16091s
  14700/15600 done, $21.6598 spent, 16130s
  14720/15600 done, $21.6755 spent, 16169s
  14740/15600 done, $21.6904 spent, 16215s
  14760/15600 done, $21.7051 spent, 16257s
  14780/15600 done, $21.7207 spent, 16292s
  14800/15600 done, $21.7350 spent, 16346s
  14820/15600 done, $21.7513 spent, 16371s
  14840/15600 done, $21.7660 spent, 16416s
  14860/15600 done, $21.7835 spent, 16456s
  14880/15600 done, $21.7994 spent, 16505s
  14900/15600 done, $21.8140 spent, 16558s
  14920/15600 done, $21.8305 spent, 16600s
  14940/15600 done, $21.8492 spent, 16653s
  14960/15600 done, $21.8669 spent, 16705s
  14980/15600 done, $21.8833 spent, 16748s
  15000/15600 done, $21.8990 spent, 16798s
  15020/15600 done, $21.9161 spent, 16835s
  15040/15600 done, $21.9310 spent, 16882s
  15060/15600 done, $21.9454 spent, 16916s
  15080/15600 done, $21.9605 spent, 16953s
  15100/15600 done, $21.9705 spent, 16984s
  15120/15600 done, $21.9810 spent, 17021s
  15140/15600 done, $21.9925 spent, 17052s
  15160/15600 done, $22.0055 spent, 17096s
  15180/15600 done, $22.0180 spent, 17135s
  15200/15600 done, $22.0291 spent, 17173s
  15220/15600 done, $22.0408 spent, 17207s
  15240/15600 done, $22.0525 spent, 17238s
  15260/15600 done, $22.0643 spent, 17286s
  15280/15600 done, $22.0753 spent, 17323s
  15300/15600 done, $22.0843 spent, 17357s
  15320/15600 done, $22.0954 spent, 17386s
  15340/15600 done, $22.1083 spent, 17456s
  15360/15600 done, $22.1237 spent, 17496s
  15380/15600 done, $22.1364 spent, 17544s
  15400/15600 done, $22.1479 spent, 17571s
  15420/15600 done, $22.1585 spent, 17608s
  15440/15600 done, $22.1718 spent, 17681s
  15460/15600 done, $22.1859 spent, 17722s
  15480/15600 done, $22.1990 spent, 17763s
  15500/15600 done, $22.2087 spent, 17794s
  15520/15600 done, $22.2180 spent, 17826s
  15540/15600 done, $22.2299 spent, 17879s
  15560/15600 done, $22.2422 spent, 17927s
  15580/15600 done, $22.2562 spent, 17973s
  15600/15600 done, $22.2691 spent, 18021s
{
 "run": "suite-a",
 "completed": 15600,
 "pending": 0,
 "spent": 22.2691,
 "stats": {
  "deepseek": {
   "calls": 7800,
   "errors": 1,
   "unpinned": 0,
   "cost": 16.57014668400006,
   "inTok": 25437909,
   "outTok": 22109068,
   "reasonTok": 19664906
  },
  "muse": {
   "calls": 7800,
   "errors": 10,
   "unpinned": 0,
   "cost": 5.698955001999993,
   "inTok": 23800386,
   "outTok": 16907766,
   "reasonTok": 14261951
  }
 },
 "wallSeconds": 18021,
 "ledgerTotal": 23.8787
}
RUN_DONE
